SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_25C,R0_ohm_25C,R1_ohm_25C,C1_F_25C,tau1_s_25C,R2_ohm_25C,C2_F_25C,tau2_s_25C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0,3.0144,0.00306100168689053,0.00122278952989757,263.379892337504,0.32205817473585,0.00425221623156211,4144.49115922403,17.6232725788181,2.9285,0.00228587065161988,0.000712338525862247,482.614530735039,0.343784923383498,0.00561499685500184,4200.3458279181,23.5849286136802,2.8826,0.00191796838536574,0.000308164535951222,1104.82927222818,0.340469199981524,0.00622667323026681,3781.89404438199,23.5486184058588
0.005,3.03260759879668,0.00306100168689053,0.00122278952989757,263.379892337504,0.32205817473585,0.00425221623156211,4144.49115922403,17.6232725788181,2.96098852233912,0.00228587065161988,0.000712338525862247,482.614530735039,0.343784923383498,0.00561499685500184,4200.3458279181,23.5849286136802,2.91797193598605,0.00191717426943672,0.000306515067530547,1113.32634711915,0.341251300470764,0.00623967866350782,3789.18163157393,23.6432757786876
0.01,3.05532870046906,0.00305990348332496,0.00121867405199231,264.227358761523,0.322007025949133,0.00424120880256608,4153.8997248946,17.6175560781998,2.9874151194051,0.00228205659281429,0.000694472283379592,495.674034231829,0.344231878364952,0.00559491350288508,4223.00672171502,23.6273573300978,2.94747695191427,0.0019130857332382,0.000298022716351289,1158.56260538064,0.345277974718565,0.0063066376334018,3826.2263160854,24.1306228789365
0.015,3.07804980214143,0.00305026415045429,0.00118255100277428,271.918990094784,0.321558074409956,0.0041445925872585,4238.62657170152,17.5673802692311,3.011308729356,0.00227639263034846,0.000667940514472742,516.356784798181,0.344895616489588,0.00556508927668005,4256.96044452822,23.6903649210952,2.97355007708984,0.00190899719703968,0.000289530365172031,1206.45255553357,0.349304648966366,0.00637359660329579,3862.49264135346,24.6179699791854
0.02,3.10017232256012,0.00304506361999264,0.00115702364148024,278.771900864513,0.322545679880627,0.00411298525303205,4278.06264767764,17.5956085814454,3.03520233930691,0.00227072866788262,0.000641408745565892,538.750612621206,0.345559354614223,0.00553526505047502,4291.2800553343,23.7533725120925,2.99962320226541,0.00190490866084116,0.000281038013992773,1257.23676378973,0.353331323214167,0.00644055557318977,3898.00488391726,25.1053170794343
0.025,3.11970627188452,0.00304022006789804,0.00113234840898679,285.820878003691,0.323648816462688,0.00408660607768127,4314.12815241421,17.6301423275518,3.05909594925781,0.00226521531106654,0.000623226436015014,556.508512058559,0.346830816582274,0.00553993418454946,4320.32581614246,23.9343206772392,3.02569632744097,0.00190082012464264,0.000272545662813515,1311.18577992739,0.357357997461968,0.00650751454308375,3932.78632114365,25.5926641796832
0.03,3.13924022120891,0.00303537651580345,0.00110767317649335,293.183910142919,0.324751953044748,0.00406022690233048,4350.66229020822,17.6646760736582,3.08298955920872,0.00225974677346688,0.00060752886874631,573.278326261236,0.348283133030267,0.00555486830789887,4347.60390633711,24.1503671546093,3.05176945261654,0.00189673158844412,0.000264053311634257,1368.60495887408,0.361384671709769,0.00657447351297773,3966.85928210848,26.080011279932
0.035,3.15877417053331,0.00303053296370885,0.0010829979439999,300.882463749938,0.325855089626808,0.0040338477269797,4387.6742548774,17.6992098197646,3.10688316915962,0.00225427823586722,0.000591831301477607,590.937736150633,0.34973544947826,0.00556980243124827,4374.73571688586,24.3664136319795,3.0778425777921,0.00189217125088422,0.000259552388274323,1402.5206995933,0.364027597183614,0.00655124422386152,4009.29951989056,26.2659003214138
0.04,3.17830811985771,0.00302568941161425,0.00105832271150646,308.940007290841,0.326958226208868,0.00400746855162891,4425.17348231285,17.7337435658709,3.13077677911052,0.00224880969826756,0.000576133734208904,609.55945655304,0.351187765926253,0.00558473655459767,4401.72242128629,24.5824601093497,3.10391570296767,0.00188357995169955,0.000250381235504387,1470.53681401992,0.368194824348993,0.00633150362028956,4111.64698935948,26.0329077984823
0.045,3.19784206918211,0.00301883789233459,0.00103923372732062,315.143428151156,0.327507679478124,0.00401131928414325,4447.35865780126,17.8397755475396,3.15467038906143,0.0022433411606679,0.0005604361669402,629.224349134258,0.352640082374246,0.00559967067794707,4428.56518051726,24.7985065867199,3.12998882814323,0.00187482412516787,0.000241011033074279,1545.27020788706,0.372427169181766,0.00610386703945888,4224.09056435587,25.783287167461
0.05,3.2173760185065,0.00301135404342736,0.00102190391048479,320.854797386896,0.327882772147474,0.00402468972720064,4464.5237970498,17.9683230628291,3.17774999522505,0.00223787262306823,0.000544738599671497,650.022596224635,0.354092398822239,0.00561460480129647,4455.26514320543,25.01455306409,3.15508724473307,0.00186606829863619,0.000231640830644171,1626.04974678723,0.376659514014538,0.00587623045862819,4345.24593890768,25.5336665364398
0.055,3.22940216868436,0.00300387019452013,0.00100457409364896,326.763219250935,0.328257864816825,0.00403806017025804,4481.57526512594,18.0968705781187,3.18737150553707,0.00223240408546857,0.000529041032402793,672.055083620682,0.355544715270231,0.00562953892464588,4481.82344578909,25.2305995414602,3.16799786779556,0.00185731247210451,0.000222270628214063,1713.64008779642,0.380891858847311,0.00564859387779751,4476.16636147283,25.2840459054186
0.06,3.23780360157645,0.00299638634561291,0.000987244276813136,332.879070767588,0.328632957486176,0.00405143061331544,4498.51418743505,18.2254180934082,3.19680641992323,0.00222693554786891,0.00051334346513409,695.435037095434,0.356997031718224,0.00564447304799528,4508.24121267939,25.4466460188304,3.17892979907496,0.00184855664557282,0.000212900425783954,1808.94050475455,0.385124203680084,0.00542095729696682,4618.08199234567,25.0344252743973
0.065,3.24620503446853,0.00298890249670568,0.000969914459977308,339.213470601546,0.329008050155527,0.00406480105637284,4515.34167457524,18.3539656086977,3.20624133430939,0.00222146701026925,0.000497645897865387,720.289968637856,0.358449348166217,0.00565940717134468,4534.51955641903,25.6626924962005,3.18850568761207,0.00183980081904114,0.000203530223353846,1913.01587595639,0.389356548512857,0.00519332071613614,4772.43867615712,24.7848046433761
0.07,3.25460646736061,0.00298141864779845,0.00095258464314148,345.778346519027,0.329383142824878,0.00407817149943023,4532.05882258004,18.4825131239872,3.21567624869556,0.00221550106596408,0.000487828861407255,739.234765764588,0.360620054095598,0.00564826168032447,4562.56629911016,25.7705683912037,3.19808157614917,0.00183104499250946,0.000194160020923738,2027.13664467632,0.393588893345629,0.00496568413530546,4940.94737881383,24.5351840123549
0.075,3.26160515901006,0.00297393479889123,0.000935254826305652,352.586510349063,0.329758235494229,0.00409154194248763,4548.6667131564,18.6110606392768,3.22511116308172,0.00220545538569606,0.000473545467027205,768.986938965975,0.364150279150464,0.00551098880665907,4624.7952349658,25.4871947729867,3.20765746468627,0.00182228916597778,0.000184789818493629,2152.83093744755,0.397821238178402,0.00473804755447477,5125.64787544134,24.2855633813337
0.08,3.26837957584292,0.002966450949984,0.000917925009469824,359.65174143611,0.33013332816358,0.00410491238554503,4565.16641391803,18.7396081545663,3.23454607746788,0.00219319316856878,0.000455617818251809,808.384544204456,0.368314402338917,0.00530721863828219,4711.0766215856,25.0027136524546,3.21723335322338,0.00181361698190249,0.000175821095214571,2285.02528806363,0.401755648740337,0.00451147436165387,5325.02276876799,24.0237036965199
0.085,3.27515399267578,0.00295896710107677,0.000900595192633996,366.988879727731,0.330508420832931,0.00411828282860243,4581.55897861413,18.8681556698558,3.24398099185404,0.00218093095144151,0.000437690169476412,851.009575958604,0.372478525527371,0.00510344846990531,4804.24808372316,24.5182325319225,3.22680924176048,0.00180548874522576,0.000169574196503881,2381.4168885999,0.403826855425102,0.00429674186039543,5514.85401550656,23.6959041023968
0.09,3.28192840950863,0.00295363717721258,0.000886664558839562,373.534435398461,0.331199745373961,0.00411826917892927,4600.92193330787,18.9478349926015,3.2534159062402,0.00216866873431424,0.000419762520701015,897.275554965746,0.376642648715824,0.00489967830152843,4905.16926466236,24.0337514113903,3.23638513029758,0.00179757095489955,0.000167492795339123,2431.52752163491,0.407263341542641,0.00422480982973691,5615.81827229831,23.7257642388221
0.095,3.28870282634149,0.00294934047341863,0.000870480764321226,381.67359572364,0.332239523326744,0.00407689711286794,4640.49327591198,18.9188136388486,3.26285082062637,0.00215640651718697,0.000401834871925618,947.669797992959,0.380806771904277,0.00469590813315155,5014.84901815012,23.5492702908582,3.24596101883469,0.00178965316457335,0.000165411394174364,2482.89925679032,0.41069982766018,0.0041528777990784,5720.28013454168,23.7556243752473
0.1,3.29547724317435,0.00294303870133969,0.000844111701100884,394.901084973255,0.333340626603359,0.00398482283306505,4713.17108098166,18.7811517396376,3.27190825306808,0.00214414430005969,0.000383907223150222,1002.77064842329,0.384970895092731,0.00449213796477466,5134.47925045709,23.064789170326,3.25530127093694,0.00178173537424715,0.000163329993009606,2535.5803067558,0.414136313777719,0.00408094576841989,5828.42455191022,23.7854845116726
0.105,3.30213171178275,0.00293673692926075,0.000817742637880542,408.981645798478,0.334441729879973,0.00389274855326217,4789.28694862736,18.6434898404266,3.27848858173619,0.00213188208293242,0.000365979574374825,1063.26977112292,0.389135018281184,0.00428836779639778,5265.47841086795,22.5803080497939,3.26328539515073,0.00177381758392095,0.000161248591844847,2589.62137354381,0.417572799895258,0.00400901373776138,5940.44974797125,23.8153446480979
0.11,3.30856228334095,0.00293043515718181,0.0007913735746602,424.000552837088,0.335542833156588,0.00380067427345929,4869.09074804033,18.5058279412155,3.28501816033908,0.00211961986580515,0.000348051925599428,1130.0013375656,0.393299141469638,0.0040845976280209,5409.54799995019,22.0958269292618,3.27032137379396,0.00176589979359474,0.000159167190680089,2645.07581125175,0.421009286012797,0.00393708170710287,6056.56843278211,23.8452047845231
